사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20210701,2,동대문역사문화공원(DDP),12284,13737,20210704
20210701,5,동대문역사문화공원(DDP),2839,3381,20210704
20210701,4,동대문역사문화공원(DDP),15094,14009,20210704
20210702,5,동대문역사문화공원(DDP),2876,3492,20210705
20210702,4,동대문역사문화공원(DDP),15263,14096,20210705
20210702,2,동대문역사문화공원(DDP),12640,14209,20210705
20210703,5,동대문역사문화공원(DDP),933,1163,20210706
20210703,4,동대문역사문화공원(DDP),10278,8803,20210706
20210703,2,동대문역사문화공원(DDP),9090,9893,20210706
20210704,4,동대문역사문화공원(DDP),6678,6388,20210707
20210704,5,동대문역사문화공원(DDP),620,640,20210707
20210704,2,동대문역사문화공원(DDP),5703,6689,20210707
20210705,5,동대문역사문화공원(DDP),2998,3513,20210708
20210705,4,동대문역사문화공원(DDP),14495,13403,20210708
20210705,2,동대문역사문화공원(DDP),11742,13181,20210708
20210706,5,동대문역사문화공원(DDP),2955,3485,20210709
20210706,4,동대문역사문화공원(DDP),14739,13668,20210709
20210706,2,동대문역사문화공원(DDP),12173,13269,20210709
20210707,2,동대문역사문화공원(DDP),11644,12627,20210710
20210707,4,동대문역사문화공원(DDP),14171,13141,20210710
20210707,5,동대문역사문화공원(DDP),2997,3481,20210710
20210708,5,동대문역사문화공원(DDP),2795,3308,20210711
20210708,4,동대문역사문화공원(DDP),14112,12872,20210711
20210708,2,동대문역사문화공원(DDP),11022,12287,20210711
20210709,2,동대문역사문화공원(DDP),10982,12129,20210712
20210709,4,동대문역사문화공원(DDP),13344,12479,20210712
20210709,5,동대문역사문화공원(DDP),2558,3042,20210712
20210710,2,동대문역사문화공원(DDP),7467,7885,20210713
20210710,4,동대문역사문화공원(DDP),8152,7010,20210713
20210710,5,동대문역사문화공원(DDP),762,994,20210713
20210711,4,동대문역사문화공원(DDP),6115,5977,20210714
20210711,5,동대문역사문화공원(DDP),562,580,20210714
20210711,2,동대문역사문화공원(DDP),5180,6182,20210714
20210712,2,동대문역사문화공원(DDP),9517,10482,20210715
20210712,4,동대문역사문화공원(DDP),12403,11449,20210715
20210712,5,동대문역사문화공원(DDP),2539,2941,20210715
20210713,5,동대문역사문화공원(DDP),2505,2884,20210716
20210713,4,동대문역사문화공원(DDP),12570,11544,20210716
20210713,2,동대문역사문화공원(DDP),9549,10580,20210716
20210714,5,동대문역사문화공원(DDP),2520,2908,20210717
20210714,4,동대문역사문화공원(DDP),12662,11694,20210717
20210714,2,동대문역사문화공원(DDP),9727,10736,20210717
20210715,4,동대문역사문화공원(DDP),12167,11245,20210718
20210715,5,동대문역사문화공원(DDP),2446,2783,20210718
20210715,2,동대문역사문화공원(DDP),9157,10277,20210718
20210716,5,동대문역사문화공원(DDP),2346,2759,20210719
20210716,4,동대문역사문화공원(DDP),12359,11395,20210719
20210716,2,동대문역사문화공원(DDP),9501,10738,20210719
20210717,4,동대문역사문화공원(DDP),7695,6710,20210720
20210717,2,동대문역사문화공원(DDP),6706,7049,20210720
20210717,5,동대문역사문화공원(DDP),771,906,20210720
20210718,5,동대문역사문화공원(DDP),463,589,20210721
20210718,4,동대문역사문화공원(DDP),5908,6084,20210721
20210718,2,동대문역사문화공원(DDP),5076,6225,20210721
20210719,5,동대문역사문화공원(DDP),2509,2819,20210722
20210719,2,동대문역사문화공원(DDP),9168,10047,20210722
20210719,4,동대문역사문화공원(DDP),12001,11083,20210722
20210720,2,동대문역사문화공원(DDP),9639,10512,20210723
20210720,4,동대문역사문화공원(DDP),12326,11474,20210723
20210720,5,동대문역사문화공원(DDP),2463,2829,20210723
20210721,2,동대문역사문화공원(DDP),9401,10297,20210724
20210721,5,동대문역사문화공원(DDP),2489,2883,20210724
20210721,4,동대문역사문화공원(DDP),12363,11462,20210724
20210722,5,동대문역사문화공원(DDP),2483,2770,20210725
20210722,4,동대문역사문화공원(DDP),12285,11477,20210725
20210722,2,동대문역사문화공원(DDP),9435,10311,20210725
20210723,2,동대문역사문화공원(DDP),9545,10730,20210726
20210723,4,동대문역사문화공원(DDP),12519,11554,20210726
20210723,5,동대문역사문화공원(DDP),2433,2780,20210726
20210724,2,동대문역사문화공원(DDP),6915,7269,20210727
20210724,4,동대문역사문화공원(DDP),7479,6585,20210727
20210724,5,동대문역사문화공원(DDP),778,936,20210727
20210725,2,동대문역사문화공원(DDP),5147,6090,20210728
20210725,4,동대문역사문화공원(DDP),5814,5846,20210728
20210725,5,동대문역사문화공원(DDP),501,567,20210728
20210726,5,동대문역사문화공원(DDP),2537,2866,20210729
20210726,4,동대문역사문화공원(DDP),12303,11444,20210729
20210726,2,동대문역사문화공원(DDP),9357,10324,20210729
20210727,2,동대문역사문화공원(DDP),9124,10182,20210730
20210727,5,동대문역사문화공원(DDP),2556,2867,20210730
20210727,4,동대문역사문화공원(DDP),12214,11165,20210730
20210728,2,동대문역사문화공원(DDP),9195,10237,20210731
20210728,4,동대문역사문화공원(DDP),12370,11409,20210731
20210728,5,동대문역사문화공원(DDP),2476,2851,20210731
20210729,2,동대문역사문화공원(DDP),9387,10425,20210801
20210729,4,동대문역사문화공원(DDP),12437,11610,20210801
20210729,5,동대문역사문화공원(DDP),2538,2928,20210801
20210730,5,동대문역사문화공원(DDP),2493,2812,20210802
20210730,4,동대문역사문화공원(DDP),12648,11898,20210802
20210730,2,동대문역사문화공원(DDP),9716,10818,20210802
20210731,2,동대문역사문화공원(DDP),6622,7133,20210803
20210731,5,동대문역사문화공원(DDP),728,921,20210803
20210731,4,동대문역사문화공원(DDP),7593,6672,20210803
